cell_lat,cell_lon,pass_count,csetn1_avg,nsi,slope_deg,rpi,nearest_psr_name,distance_km,within_psr,priority_tier,annotation
-86.375,297.375,3,1.3333,0.5541,4.93,0.112302,Cabeus,61.5,False,Watch,
-87.375,84.375,3,1.6667,0.4426,3.94,0.112278,Faustini,5.5,True,Watch,confirmed within Faustini PSR boundary
-86.625,96.875,3,0.6667,0.777,6.99,0.111175,Faustini,28.2,False,Watch,strong CSETN suppression near Faustini
-88.625,182.375,3,1.3333,0.5541,4.99,0.111042,Sverdrup,32.1,False,Watch,
-87.125,241.625,3,1.6667,0.4426,3.99,0.110942,de_Gerlache,50.5,False,Watch,
-86.625,59.125,5,1.2,0.5987,5.4,0.110932,Faustini,42.7,False,Watch,
-87.125,228.625,4,1.5,0.4984,4.53,0.109975,de_Gerlache,61.2,False,Watch,
-87.375,221.625,3,2.0,0.3311,3.02,0.109812,de_Gerlache,61.3,False,Watch,
-87.625,356.125,4,1.75,0.4148,3.78,0.109779,Haworth,4.8,True,Watch,confirmed within Haworth PSR boundary
-87.125,235.875,5,1.2,0.5987,5.47,0.109422,de_Gerlache,55.1,False,Watch,
-86.125,212.125,4,1.75,0.4148,3.8,0.109244,Sverdrup,101.4,False,Watch,
-86.875,257.375,3,1.3333,0.5541,5.08,0.109173,de_Gerlache,47.5,False,Watch,
-86.875,170.125,3,1.6667,0.4426,4.06,0.109066,Sverdrup,41.3,False,Watch,
-86.125,262.625,4,1.75,0.4148,3.8,0.109057,de_Gerlache,68.0,False,Watch,
-87.375,356.875,4,2.0,0.3311,3.05,0.10847,Haworth,3.6,True,Watch,confirmed within Haworth PSR boundary
-89.125,187.375,3,0.6667,0.777,7.17,0.108381,Shackleton,22.8,False,Watch,strong CSETN suppression near Shackleton
-85.375,87.875,3,1.0,0.6656,6.14,0.108313,Faustini,56.0,False,Watch,
-89.125,319.625,4,1.25,0.582,5.38,0.108247,Shackleton,36.4,False,Watch,
-86.375,171.375,3,1.6667,0.4426,4.1,0.107978,Sverdrup,56.1,False,Watch,
-85.125,37.125,5,1.2,0.5987,5.57,0.107575,Nobile,41.9,False,Watch,
-87.125,281.125,3,1.6667,0.4426,4.12,0.107501,de_Gerlache,38.0,False,Watch,
-86.875,170.375,7,1.8571,0.3789,3.54,0.107165,Sverdrup,41.5,False,Watch,
-86.875,101.875,3,0.0,1.0,9.37,0.106685,Faustini,30.6,False,Watch,strong CSETN suppression near Faustini
-85.375,260.625,3,1.3333,0.5541,5.21,0.10631,de_Gerlache,91.2,False,Watch,
-86.875,280.375,3,1.6667,0.4426,4.16,0.10628,de_Gerlache,45.3,False,Watch,
-85.125,357.375,5,1.6,0.4649,4.38,0.10625,Haworth,71.2,False,Watch,
-86.625,184.375,3,1.3333,0.5541,5.22,0.106237,Sverdrup,60.1,False,Watch,
